Wavelength	Name	Ionization Stage	RelInt
255.156	Mn	2	6
255.158	Cr	2	20
255.167	Hg	1	1
255.170	Li	2	1
255.172	V	2	26
255.173	Ta	1	105
255.173	Zr	1	4
255.177	Ce	1	9
255.184	Pd	2	101
255.188	Mn	2	102
255.190	Au	1	6
255.198	Cd	2	6
255.198	W	1	9
255.200	In	1	3
255.201	Nb	1	4
255.202	Re	1	81
255.211	W	1	8
255.212	Al	2	1
255.224	W	2	5
255.225	Pt	1	171
255.226	Ce	1	3
255.226	V	2	5
255.236	W	2	12
255.238	Co	1	21
255.238	Sc	2	66
255.248	W	1	12
255.253	Tl	1	82
255.265	V	1	86
255.266	Fe	1	18
255.267	Au	2	46
255.277	Fe	1	21
255.283	Cd	2	1
255.283	Fe	1	7
255.287	Hg	1	1
255.287	Mo	1	23
255.296	V	2	41
255.298	Mn	1	4
255.299	Cd	2	1
255.300	Co	1	41
255.302	V	2	23
255.304	Tl	1	11
255.304	Zr	2	5
255.306	Cr	1	22
255.316	W	2	28
255.318	Fe	1	31
255.325	Mn	2	51
255.325	P	1	81
255.333	In	2	1
255.334	Ce	1	4
255.337	Co	1	11
255.338	Ni	1	21
255.343	Ag	2	13
255.345	Ce	1	3
255.346	Cd	1	26
255.349	Nb	2	32
255.350	Fe	1	3
255.356	In	2	1
255.359	Ce	1	3
255.359	Re	2	6
255.359	W	1	14
255.362	Na	3	1
255.366	V	2	31
255.369	Mo	1	16
255.373	Fe	2	16
255.382	W	1	17
255.383	Fe	1	16
255.398	Mn	2	11
255.408	W	1	7
255.410	Nb	1	8
255.423	V	3	51
255.431	Zr	1	21
255.439	In	2	1
255.447	In	2	1
255.451	Cd	1	4
255.451	Mn	1	21
255.452	Fe	1	3
255.462	Mg	1	5
255.462	Ta	2	151
255.463	Re	2	6
255.464	Sb	1	41
255.467	W	2	20
255.476	S	1	1
255.478	Eu	2	60
255.479	Nb	2	22
255.486	V	1	18
255.486	W	3	26
255.490	P	1	61
255.491	Ta	2	101
255.499	Ni	2	1001
255.505	Ta	1	51
255.507	Co	1	1
255.507	Fe	2	41
255.509	W	2	26
255.520	W	1	11
255.522	Fe	1	11
255.531	Nb	2	32
255.536	Rh	1	161
255.542	Mo	2	54
255.545	Fe	2	38
255.547	Cr	2	10
255.563	Nb	2	83
255.565	Fe	1	4
255.573	Fe	1	6
255.582	Sc	2	31
255.591	V	2	83
255.594	Ce	1	3
255.598	Ti	2	96
255.601	Al	2	1
255.602	V	1	5
255.608	W	2	7
255.619	U	2	324
255.627	W	1	14
255.629	Ge	1	23
255.630	Fe	1	17
255.630	Hg	1	4
255.632	Ru	1	51
255.643	Zr	1	4
255.645	Ca	1	5
255.651	Re	1	81
255.657	Fe	1	3
255.657	Mn	2	91
255.674	W	1	16
255.675	Mo	2	23
255.676	Co	1	201
255.678	Al	2	1
255.682	V	1	5
255.686	Fe	1	22
255.686	Ho	1	454
255.689	Mn	2	4
255.693	Nb	2	6
255.700	C	1	6
255.700	W	1	9
255.708	Fe	2	1
255.714	Cr	1	36
255.726	Fe	1	2
255.726	Mg	1	7
255.734	Co	1	3
255.738	Mo	2	2
255.745	Cr	2	1
255.750	Fe	2	2
255.752	B	1	1
255.753	Mn	2	2
255.756	W	1	13
255.771	Al	2	1
255.771	Ta	3	51
255.775	Hg	1	1
255.787	Ni	2	81
255.794	Nb	3	101
255.796	Zn	2	311
255.801	Sn	1	37
255.802	W	1	7
255.806	Re	1	61
255.828	Mn	1	13
255.835	Ce	1	3
255.848	Fe	1	31
255.848	W	2	8
255.854	Ru	1	52
255.858	Mn	2	81
255.863	Nb	2	7
255.885	Mn	1	13
255.888	Mo	2	36
255.889	V	1	23
255.889	W	1	7
255.893	Mo	1	16
255.894	Nb	1	15
255.912	Mo	2	12
255.918	Eu	2	60
255.920	Hf	2	61
255.921	Si	3	1
255.924	Fe	2	21
255.933	W	1	11
255.941	Co	2	71
255.941	Mn	2	53
255.943	Nb	1	9
255.943	Ta	1	103
255.950	Ba	1	3
255.950	W	2	19
255.961	Al	2	1
255.966	Mn	2	41
255.968	Mo	2	21
255.971	Cr	2	9
255.975	W	1	6
255.977	Fe	2	34
255.991	Fe	2	18
256.009	Co	1	62
256.010	Nb	2	12
256.012	W	1	24
256.014	V	2	11
256.015	In	1	201
256.026	Ru	1	66
256.026	Sc	2	41
256.027	Fe	2	91
256.030	Ni	2	501
256.039	La	2	123
256.049	W	1	5
256.056	Fe	1	16
256.062	Nb	2	3
256.068	Ta	1	71
256.069	Cr	1	31
256.074	Nb	2	2
256.074	W	2	9
256.076	Mn	1	1
256.094	Mg	1	5
256.118	As	2	1
256.118	Hg	1	4
256.127	Fe	1	5
256.128	Co	1	26
256.138	W	1	1
256.139	Ce	1	3
256.142	Ni	1	41
256.146	Fe	1	4
256.149	I	1	1
256.151	Ce	1	4
256.151	W	1	10
256.155	Mn	1	9
256.162	Mo	1	26
256.165	Tm	2	349
256.169	Se	1	1
256.170	Nb	2	13
256.171	Fe	1	4
256.186	Fe	1	16
256.192	Rb	1	1
256.194	Th	2	150
256.196	W	1	21
256.208	Mo	2	32
256.209	Fe	2	28
256.210	Ta	1	101
256.212	Ni	1	16
256.213	V	1	55
256.215	Co	1	11
256.222	Mg	1	4
256.223	Fe	1	16
256.224	Mn	2	11
256.228	Pb	1	101
256.231	Li	1	166
256.240	Nb	2	105
256.242	Ce	1	6
256.245	I	2	1
256.253	Fe	2	201
256.261	Zn	1	11
256.263	Fe	1	3
256.264	Au	2	6
256.265	W	2	9
256.276	V	2	27
256.290	Ag	3	11
256.309	Fe	1	7
256.316	Ru	1	52
256.316	W	2	39
256.321	Sc	2	31
256.324	Mn	1	6
256.332	Na	3	1
256.333	Ta	1	51
256.335	Cr	2	11
256.340	Fe	1	31
256.343	Cr	2	6
256.347	Fe	2	196
256.356	Zr	1	13
256.358	Cr	2	17
256.361	Hf	2	56
256.365	Mn	2	76
256.368	Si	1	5
256.370	Ta	1	81
256.383	Fe	1	13
256.390	Hg	1	4
256.391	Nb	2	13
256.391	W	2	23
256.402	Cd	1	1
256.404	Co	2	116
256.406	Nb	2	32
256.409	Ca	1	1
256.412	Mn	1	9
256.417	Eu	2	209
256.418	Ir	1	49
256.419	Re	1	51
256.422	V	1	23
256.429	Zr	1	5
256.433	Mo	2	44
256.434	V	1	5
256.439	I	2	1
256.442	Ag	2	16
256.443	W	2	6
256.445	Zn	2	1
256.456	Fe	1	16
256.458	Te	1	1
256.459	Ru	1	53
256.468	W	1	16
256.470	Fe	1	4
256.472	In	2	1
256.473	Nb	1	8
256.476	Mo	1	12
256.482	Si	1	4
256.482	V	1	43
256.484	Nb	2	17
256.494	Mg	1	7
256.498	S	1	1
256.513	In	2	1
256.519	Ru	1	51
256.522	Mn	2	83
256.537	Co	1	21
256.537	Ni	2	151
256.539	In	2	1
256.540	Nb	1	26
256.541	U	2	450
256.546	Fe	1	3
256.548	Ca	1	5
256.550	Nb	2	15
256.551	Pd	2	203
256.554	Sb	1	26
256.554	V	2	26
256.559	Ce	1	9
256.559	Th	2	333
256.567	Nb	2	12
256.568	Al	2	1
256.570	Fe	1	5
256.571	Au	2	13
256.578	W	2	12
256.579	Cd	1	4
256.592	Ni	2	601
256.595	Mn	1	26
256.603	V	2	14
256.607	Nb	2	33
256.609	W	1	5
256.622	Fe	2	43
256.624	I	2	1
256.625	Mo	2	31
256.626	B	2	16
256.629	Fe	1	14
256.631	W	1	11
256.637	Ce	1	13
256.640	B	2	11
256.640	Fe	1	12
256.655	Cr	1	21
256.658	Ce	1	16
256.660	V	2	11
256.661	Fe	2	14
256.678	Mn	1	13
256.683	Ba	1	11
256.687	Cr	2	11
256.691	Fe	2	71
256.705	Mo	1	51
256.707	Zr	2	26
256.721	Ag	2	11
256.732	Fe	1	13
256.735	Co	1	61
256.744	Nb	3	11
256.744	V	2	11
256.745	Zr	1	31
256.749	W	1	23
256.751	Nb	1	21
256.759	Cr	2	11
256.761	W	2	18
256.762	Zr	2	111
256.767	Ce	1	13
256.775	Sb	2	11
256.780	Fe	1	17
256.780	Zn	1	11
256.787	Fe	1	23
256.791	W	1	11
256.798	Al	1	211
256.799	Mo	1	21
256.805	V	2	11
256.808	Zn	2	61
256.809	Cr	1	19
256.810	W	2	11
256.817	Eu	2	158
256.821	W	1	23
256.830	Mn	1	11
256.838	V	1	46
256.840	Fe	2	11
256.840	Nb	2	13
256.843	Pb	1	11
256.851	Mn	2	11
256.852	Cr	3	16
256.855	W	1	23
256.858	Pt	2	12
256.864	Re	2	41
256.864	Si	1	26
256.867	Nb	2	6
256.869	Cs	2	1
256.870	Ce	1	3
256.872	Mn	2	16
256.877	Ru	1	69
256.885	W	2	18
256.885	Zr	2	301
256.886	Fe	1	31
256.888	Fe	2	26
256.897	Ti	2	16
256.898	W	1	11
256.903	Nb	1	14
256.913	Ta	2	81
256.916	Ce	1	9
256.918	Nb	2	7
256.925	W	3	18
256.929	Fe	1	6
256.932	Mn	1	3
256.935	Tm	2	59
256.936	Fe	1	6
256.947	Sr	1	28
256.950	C	1	15
256.956	Pd	2	23
256.960	Fe	1	23
256.971	U	2	374
256.974	Co	1	3
256.974	Fe	1	13
256.977	Fe	2	3
256.987	Ce	1	9
256.987	Zn	1	103
256.997	W	1	3
257.008	Mn	1	3
257.009	W	1	15
257.021	W	1	3
257.026	V	1	5
257.030	In	1	3
257.052	Fe	2	16
257.066	Zn	2	11
257.078	Nb	1	6
257.078	Si	1	1
257.084	Fe	2	171
257.085	Mo	2	26
257.088	Mg	1	5
257.094	Mn	2	81
257.097	Ru	1	101
257.103	Ti	2	91
257.105	Nb	1	6
257.106	V	2	75
257.109	Ru	2	107
257.117	W	1	6
257.123	Lu	2	82
257.124	Mo	2	11
257.132	Nb	2	105
257.136	Ce	1	4
257.142	Zr	2	701
257.145	Mo	2	23
257.145	W	2	46
257.148	O	2	1
257.151	Ta	2	1
257.154	Fe	2	16
257.156	Sb	1	9
257.158	Sn	1	226
257.162	W	2	15
257.168	Hf	2	111
257.174	Cr	3	86
257.175	Cu	2	151
257.175	Hg	1	4
257.181	Re	2	6
257.189	Mn	2	13
257.193	Ce	1	6
257.210	Nb	1	10
257.214	Fe	1	3
257.215	Cr	3	9
257.215	Hg	1	1
257.223	W	2	15
257.224	Co	1	63
257.224	Mo	2	16
257.225	Mg	1	9
257.234	Mo	1	71
257.235	W	2	14
257.242	Mn	1	11
257.244	W	1	11
257.257	W	2	9
257.261	Pt	2	66
257.265	Ti	2	51
257.276	Mn	1	251
257.280	In	1	3
257.293	Cd	2	1
257.296	Fe	1	17
257.301	Nb	2	13
257.303	Cs	2	1
257.309	Ca	2	154
257.313	Nb	2	22
257.314	Ce	1	16
257.314	W	1	7
257.320	Fe	2	41
257.325	As	2	6
257.325	W	1	5
257.331	Mo	1	30
257.340	Co	1	45
257.344	Ru	2	10
257.349	Fe	1	8
257.353	W	1	20
257.354	Co	1	35
257.354	Cr	2	5
257.354	Ta	1	130
257.358	W	2	5
257.371	Ti	2	7
257.374	Fe	2	7
257.377	Fe	1	7
257.377	Re	1	65
257.379	Ta	1	105
257.381	W	2	7
257.391	Hf	2	30
257.391	Nb	1	5
257.393	Ti	2	4
257.395	W	2	15
257.402	V	1	111
257.406	Sb	1	71
257.407	Nb	2	13
257.420	W	1	10
257.435	Co	1	7
257.437	Fe	2	201
257.437	In	2	1
257.438	Ta	1	81
257.442	Mo	2	36
257.449	Pt	1	21
257.451	In	2	1
257.452	V	2	90
257.468	W	1	6
257.476	Eu	2	61
257.483	C	2	3
257.484	Nb	2	103
257.486	Co	2	44
257.486	Hg	1	1
257.489	Fe	1	4
257.491	Mg	1	9
257.506	Zn	1	6
257.510	Al	1	281
257.530	O	2	1
257.534	Fe	1	4
257.535	Ag	1	4
257.540	Al	1	61
257.546	W	1	12
257.547	Ta	1	81
257.549	Pd	2	101
257.551	Mn	1	152
257.556	Co	2	16
257.560	Zn	1	1
257.574	Ag	1	14
257.574	Fe	1	91
257.580	Cr	2	5
257.589	W	1	11
257.593	Ce	1	7
257.596	Nb	2	12
257.609	Ru	2	51
257.610	Mn	2	2301
257.610	Zr	1	9
257.617	W	2	23
257.629	Hg	1	36
257.636	W	2	18
257.640	Pd	2	101
257.648	V	2	52
257.655	Pb	2	1
257.656	Mo	2	28
257.659	Nb	1	6
257.669	Fe	1	46
257.669	Th	2	223
257.683	Hf	2	66
257.686	Fe	2	73
257.703	W	1	20
257.710	Pd	2	154
257.713	Si	1	11
257.714	Eu	2	276
257.721	As	2	4
257.726	Pb	1	141
257.727	Ir	1	76
257.729	Fe	1	4
257.729	V	1	28
257.730	W	2	5
257.737	Ta	3	231
257.742	Fe	2	3
257.746	Mn	1	13
257.766	Cr	1	39
257.769	W	1	10
257.778	Ta	1	92
257.792	Fe	2	131
257.795	Mn	1	6
257.797	W	1	5
257.802	Fe	1	3
257.816	Hf	2	56
257.819	Nb	1	7
257.831	Cr	2	16
257.835	Mn	1	11
257.836	Mo	2	27
257.839	Pt	2	23
257.844	Hg	1	6
257.845	V	2	16
257.847	Ni	1	21
257.869	W	2	9
257.873	Nb	1	31
257.876	Mo	1	27
257.879	Lu	2	124
257.882	Fe	1	9
257.888	Ti	1	5
257.890	In	1	4
257.891	Hg	1	1
257.891	Mn	1	26
257.891	Mo	2	63
257.893	Co	1	31
257.905	Ta	2	104
257.908	Sn	2	1
257.910	Ru	2	93
257.911	Cr	3	16
257.926	W	2	23
257.927	Fe	1	19
257.938	Mn	2	6
257.940	W	1	11
257.941	Fe	2	12
257.942	Ce	1	3
257.944	Mo	2	31
257.954	W	2	34
257.955	Zr	1	26
257.962	Ta	1	81
257.967	Mn	1	127
257.984	Fe	1	12
258.003	Os	2	116
258.004	W	1	11
258.007	Fe	1	11
258.007	Hg	2	1
258.011	Cd	1	51
258.014	Tl	1	181
258.016	Ta	1	151
258.018	Mn	1	11
258.028	Nb	2	103
258.030	Fe	1	8
258.033	Co	2	116
258.033	W	1	16
258.035	Si	1	1
258.045	Fe	1	9
258.045	Zr	1	5
258.049	W	1	20
258.064	Ag	1	3
258.071	Fe	2	11
258.074	Ag	2	152
258.080	In	1	3
258.081	Ru	1	9
258.081	Ti	1	31
258.081	La	2	73
258.084	Co	1	55
258.095	Co	2	1
258.096	Fe	1	6
258.102	S	1	1
258.106	W	1	13
258.108	Pt	2	6
258.111	Fe	1	27
258.114	Ru	1	63
258.119	Nb	1	7
258.120	W	2	28
258.146	Fe	1	13
258.149	W	1	9
258.164	Mn	1	16
258.169	Rh	2	152
258.171	Ti	2	5
258.171	Zr	2	1
258.184	V	2	1
258.186	Eu	2	61
258.196	Os	1	81
258.211	Cr	2	1
258.215	Bi	1	36
258.216	Mo	1	26
258.221	Fe	1	51
258.224	Co	2	51
258.229	Mo	1	11
258.237	Co	2	1
258.244	Zn	1	101
258.249	Zn	1	301
258.251	Hf	2	26
258.252	W	2	1
258.255	La	2	86
258.258	Fe	2	26
258.259	Ce	1	3
258.279	Ce	1	4
258.279	I	2	1
258.281	Fe	1	6
258.282	W	2	9
258.288	C	1	1
258.292	Fe	1	4
258.298	Mn	2	51
258.299	O	1	1
258.301	V	2	51
258.302	Cr	1	11
258.304	Fe	2	4
258.309	Mn	1	7
258.310	Nb	1	11
258.312	Ce	1	6
258.315	Pt	2	11
258.317	Co	1	6
258.321	W	1	18
258.322	Nb	1	11
258.322	Tl	1	21
258.327	Mn	1	21
258.338	Zr	2	56
258.345	Th	2	123
258.351	W	2	6
258.362	Cr	2	6
258.365	Zr	1	21
258.366	W	1	12
258.385	Pd	2	6
258.398	Nb	2	16
258.399	Zr	1	10
258.400	Ni	2	6
258.403	Ta	2	86
258.410	Cr	2	7
258.411	Mn	1	21
258.413	Pd	2	76
258.414	Ru	1	54
258.419	Ag	2	4
258.419	Mo	2	6
258.420	Ce	1	6
258.423	W	3	12
258.429	S	1	1
258.430	Fe	1	3
258.430	Mg	1	17
258.431	Mn	1	166
258.438	W	1	26
258.449	Ta	2	41
258.453	Mn	3	25
258.454	Fe	1	131
258.460	In	1	3
258.467	Cr	1	12
258.472	Fe	1	4
258.474	Hg	1	6
258.483	Cr	2	3
258.487	Cd	1	4
258.495	V	2	103
258.500	Fe	1	4
258.518	Ce	1	3
258.522	W	1	13
258.525	S	1	1
258.534	Co	1	51
258.543	W	1	11
258.548	Mn	2	11
258.557	Mg	1	6
258.560	Cr	2	3
258.560	Ti	1	33
258.563	Fe	2	4
258.574	Ru	1	51
258.580	In	1	3
258.588	Fe	2	171
258.588	Mn	2	11
258.595	Mo	2	46
258.596	W	2	29
258.609	Nb	3	41
258.627	Ti	1	8
258.631	Na	2	1
258.634	W	3	21
258.640	Zr	2	3
258.643	Cd	1	1
258.656	Ce	1	3
258.656	Mn	2	11
258.658	W	2	5
258.664	W	1	17
258.673	W	1	7
258.679	Re	1	101
258.685	Zr	2	14
258.691	Nb	2	12
258.694	W	1	106
258.695	Al	2	1
258.704	Mo	2	11
258.710	S	1	1
258.715	Ca	3	4
258.716	Fe	1	7
258.722	Co	2	111
258.724	Ni	2	51
258.726	Ag	2	2
258.727	Mn	2	13
258.729	Rh	2	103
258.732	Mo	2	32
258.732	W	1	18
258.740	Cr	2	3
258.740	Nb	2	31
258.749	Mn	2	6
258.759	Mn	2	6
258.775	W	1	15
258.779	Hg	1	1
258.779	Pt	1	11
258.788	Ce	1	3
258.795	Fe	2	51
258.795	Nb	2	24
258.798	Fe	1	41
258.800	B	1	51
258.809	W	1	13
258.819	Fe	1	3
258.825	Cr	2	10
258.828	Mg	1	17
258.828	Tm	2	485
258.836	Nb	1	3
258.842	Ce	1	4
258.851	Cd	1	1
258.855	W	1	9
258.858	Re	2	1
258.878	Mo	2	41
258.879	Fe	2	22
258.888	Ce	1	4
258.894	Zr	1	16
258.896	Mn	1	81
258.896	Nb	2	22
258.902	Zr	2	101
258.905	Ce	1	6
258.905	Cr	2	3
258.917	W	2	41
258.919	Ge	1	13
258.925	Au	1	1
258.926	Nb	1	6
258.943	Ru	2	61
258.950	In	1	3
258.955	Ce	1	3
258.957	Ru	1	64
258.965	W	2	15
258.965	Zr	1	13
258.969	Cr	2	9
258.971	Mn	2	61
258.979	Hg	1	1
259.001	Mn	2	4
259.003	Fe	1	3
259.004	Au	1	81
259.013	Sb	3	4
259.014	Mn	1	6
259.025	Ti	1	32
259.041	Ca	3	3
259.053	Cu	2	252
259.054	Fe	2	38
259.059	Co	1	76
259.069	Mn	1	3
259.072	Cr	2	14
259.076	Os	1	84
259.080	Ce	1	3
259.094	N	2	1
259.094	Nb	2	816
259.101	Pt	2	11
259.104	Ru	2	111
259.112	Ru	1	51
259.122	Mn	1	13
259.126	Fe	1	21
259.133	Hf	2	23
259.141	Se	1	1
259.142	Mn	2	15
259.149	W	2	20
259.154	Fe	2	151
259.168	Co	1	14
259.174	W	2	7
259.177	Mo	2	28
259.182	Mn	2	6
259.184	Cr	1	113
259.185	C	2	5
259.197	Mo	1	42
259.197	W	1	7
259.202	Mn	1	101
259.202	Ru	1	67
259.203	Cd	1	131
259.203	Nb	2	103
259.206	Ir	1	201
259.209	Au	2	101
259.219	Nb	1	121
259.219	Zr	1	107
259.220	V	2	101
259.229	Fe	1	113
259.229	Mn	1	113
259.233	Ce	2	111
259.239	Zr	1	106
259.246	W	2	103
259.254	Ge	1	121
259.254	Ta	2	106
259.259	W	1	101
259.278	Fe	2	121
259.278	Mo	2	19
259.280	Ce	1	3
259.284	Re	1	51
259.288	Co	2	3
259.294	Mn	1	154
259.304	Sn	1	6
259.305	V	3	51
259.309	Ta	1	152
259.318	Mg	1	8
259.327	Pd	2	104
259.330	Mn	2	3
259.338	Mo	2	24
259.338	W	1	17
259.341	Hg	1	9
259.346	I	2	1
259.352	Fe	1	26
259.364	Ti	1	23
259.366	Ta	2	181
259.371	Mo	2	61
259.371	Si	1	1
259.373	Fe	2	86
259.373	Mn	2	1201
259.376	Nb	3	103
259.380	Ce	1	3
259.387	Na	1	21
259.392	Na	1	16
259.400	Mo	1	16
259.404	Bi	1	17
259.404	Fe	1	23
259.415	Co	1	11
259.415	Fe	1	23
259.433	Nb	2	13
259.442	Sn	1	141
259.450	C	1	3
259.462	Ti	1	6
259.472	Mn	2	14
259.474	Nb	2	84
259.478	Ce	1	3
259.480	W	1	11
259.485	Ru	1	65
259.496	Na	2	1
259.496	Nb	2	7
259.498	Tm	2	48
259.503	Th	2	141
259.510	V	3	71
259.523	Re	1	61
259.526	Ta	1	53
259.529	Fe	2	4
259.540	Mo	1	46
259.542	Fe	1	4
259.555	Cr	2	7
259.557	Ce	1	5
259.557	W	2	23
259.559	Ta	2	91
259.563	Ag	2	41
259.564	Mn	1	26
259.570	S	1	1
259.576	Mn	1	226
259.576	W	2	12
259.580	Ru	2	101
259.594	Mg	1	14
259.597	Pd	2	154
259.600	Pt	1	221
259.608	La	2	137
259.611	W	1	6
259.613	Cd	1	1
259.617	Cr	2	7
259.634	W	1	11
259.635	Ce	1	3
259.643	Fe	1	4
259.645	Ta	2	231
259.648	Ce	1	4
259.660	Ti	1	45
259.664	Ba	1	41
259.666	W	1	16
259.676	Mo	1	21
259.684	Ag	2	21
259.684	Mn	2	51
259.686	W	2	17
259.695	Cs	1	1
259.696	Nb	1	6
259.704	Ce	1	9
259.707	Rh	2	154
259.713	Mo	1	21
259.713	Nb	1	12
259.714	Ru	2	51
259.718	Al	2	1
259.719	V	2	13
259.722	Mo	1	21
259.728	W	1	8
259.738	Mo	2	33
259.747	W	1	8
259.751	Mn	2	11
259.772	W	1	15
259.775	Nb	1	16
259.783	Fe	1	7
259.794	Fe	2	4
259.795	W	2	13
259.802	Fe	2	9
259.804	Nb	2	13
259.805	Sb	1	301
259.809	Sb	1	301
259.810	W	1	7
259.817	Mn	1	13
259.819	Ta	2	53
259.825	Ce	2	6
259.837	Fe	2	1701
259.842	W	1	16
259.845	Hg	1	1
259.847	Fe	1	2
259.868	W	2	7
259.869	In	2	1
259.874	W	2	33
259.880	In	2	1
259.880	Ru	2	5
259.881	Cu	2	1
259.885	Fe	1	21
259.888	Nb	3	1
259.890	Mn	2	6
259.903	Mn	2	3
259.913	Fe	1	2
259.918	Mo	2	2
259.920	Co	1	6
259.920	Hf	2	11
259.940	Fe	2	1001
259.940	Ta	1	101
259.952	Nb	2	1
259.957	Fe	1	1001
259.964	Mo	1	21
259.964	W	2	2
259.966	Fe	1	7
259.976	W	2	15
259.986	Re	1	81
259.987	Mn	1	12
259.989	Pt	1	6
259.989	Ti	1	81
260.010	Fe	1	11
260.010	Mo	2	11
260.014	Ta	1	81
260.015	Nb	2	23
260.016	Dy	2	524
260.020	Fe	1	11
260.021	W	1	13
260.027	Cu	2	202
260.027	Mn	2	12
260.030	C	1	21
260.032	Cd	1	1
260.036	Cs	1	1
260.036	Mo	1	22
260.043	Ce	1	4
260.051	W	1	13
260.058	Mn	1	11
260.061	Bi	1	15
260.073	W	1	18
260.078	Ce	1	3
260.078	Ni	2	1
260.079	Cd	1	1
260.079	V	1	5
260.087	Ce	1	4
260.088	Th	2	416
260.094	Zn	1	11
260.098	Co	1	14
260.103	Ni	2	2001
260.106	Ta	1	56
260.107	V	2	41
260.128	Zr	2	8
260.129	Nb	2	205
260.134	Mo	1	21
260.143	W	2	18
260.148	Cd	1	1
260.169	Mo	1	22
260.176	In	1	66
260.182	Mo	1	16
260.183	Mn	1	11
260.183	Nb	1	7
260.184	Cr	2	4
260.187	Re	1	31
260.196	Mo	2	22
260.196	W	1	22
260.197	Mn	1	11
260.199	As	2	1
260.200	Nb	1	7
260.205	Cd	1	26
260.206	Au	2	4
260.208	Ce	1	3
260.213	Mn	1	14
260.214	Ag	1	3
260.226	Ru	2	101
260.234	V	2	11
260.241	W	1	4
260.245	Mg	1	7
260.248	Nb	2	7
260.251	W	2	36
260.274	Mn	2	81
260.276	Pd	2	221
260.277	Ce	1	3
260.280	Mo	2	26
260.280	W	1	13
260.296	As	2	1
260.296	V	2	1
260.302	W	2	6
260.311	Mn	2	1
260.314	Pt	1	301
260.315	Hg	1	21
260.325	Mn	1	1
260.330	Nb	1	4
260.331	Mo	1	16
260.332	Rh	2	1
260.341	V	2	1
260.344	Ce	1	3
260.349	Ta	2	6
260.354	W	1	13
260.356	Cr	1	31
260.356	Fe	1	24
260.359	Ce	3	5
260.368	Pt	2	6
260.369	P	2	1
260.371	Mn	2	56
260.372	Cr	2	3
260.373	Nb	2	13
260.384	Hg	1	4
260.388	Mg	1	14
260.389	Re	1	61
260.401	Fe	1	4
260.404	Fe	1	5
260.404	In	2	1
260.404	W	2	7
260.409	Ti	2	17
260.413	Ru	2	6
260.415	Cr	2	6
260.419	Zr	2	9
260.429	V	1	18
260.435	Mn	1	6
260.440	Co	1	6
260.475	Nb	2	8
260.475	Zr	1	8
260.476	Fe	1	26
260.486	C	2	6
260.487	Fe	1	24
260.487	Ti	1	13
260.495	Bi	2	6
260.501	Nb	2	7
260.504	Fe	2	6
260.506	Nb	2	7
260.508	Mo	2	21
260.508	V	1	7
260.510	Li	2	1
260.512	Ti	1	113
260.530	Fe	2	51
260.533	Ni	2	251
260.535	Ru	1	55
260.537	Ce	1	5
260.542	Fe	2	41
260.545	P	1	1
260.547	W	2	5
260.550	W	1	15
260.561	Cr	2	5
260.566	Fe	1	91
260.569	Mn	2	601
260.572	Co	2	231
260.589	W	1	9
260.590	Fe	1	21
260.593	Mo	2	16
260.596	W	2	11
260.606	Cr	2	3
260.606	P	2	1
260.608	Ce	1	5
260.612	Co	1	41
260.616	Ag	2	211
260.620	Nb	3	6
260.625	Mn	1	6
260.626	Ni	2	601
260.627	W	2	10
260.631	Fe	1	11
260.637	Hf	2	76
260.639	W	1	11
260.643	Ta	2	11
260.647	W	2	11
260.650	Fe	2	11
260.652	Cr	2	11
260.658	Mn	1	11
260.660	Mo	2	11
260.665	Fe	1	15
260.665	Mg	1	19
260.671	Er	2	236
260.683	Fe	1	211
260.690	W	1	11
260.697	W	2	11
260.703	Hf	2	41
260.706	Tm	2	446
260.709	Fe	2	311
260.713	V	1	26
260.725	Hf	2	21
260.728	Mn	2	11
260.734	Ce	1	16
260.737	Mo	1	61
260.738	W	1	23
260.763	Cr	2	11
260.776	V	1	21
260.781	Fe	1	13
260.781	W	2	12
260.784	Ta	2	31
260.785	Mn	1	11
260.790	Cr	2	12
260.798	V	2	11
260.805	W	1	11
260.806	Pt	2	11
260.809	Mn	2	11
260.812	Ti	1	11
260.816	Cr	2	11
260.825	Ir	1	61
260.832	W	1	18
260.838	Cr	1	9
260.839	Zr	1	6
260.840	Pb	2	1
260.843	Mn	1	21
260.843	W	2	5
260.850	Re	2	26
260.856	Zn	1	251
260.858	Fe	1	111
260.863	Ta	1	130
260.864	Zn	1	401
260.867	Sn	2	1
260.868	Nb	2	6
260.880	Mn	1	21
260.884	Nb	1	5
260.885	Fe	2	1
260.888	Mo	3	16
260.896	Nb	2	3
260.899	Ti	1	81
260.900	Ta	1	81
260.906	Ru	1	81
260.911	Ce	2	3
260.912	Fe	2	1
260.917	Rh	2	4
260.921	Mo	2	1
260.922	Fe	1	11
260.925	W	2	3
260.931	Cu	3	1
260.943	Fe	2	1
260.943	Nb	1	1
260.943	Zr	1	7
260.948	Au	2	1
260.950	Ce	1	13
260.955	Mn	1	1
260.957	Ca	1	1
260.958	W	1	5
260.960	V	2	1
260.972	Zr	2	1
260.977	Tl	1	31
260.980	V	2	1
260.986	Fe	2	1
260.986	Pd	2	1
260.987	W	1	6
260.990	Ce	1	9
260.994	Ni	2	1
261.009	Ru	2	1
261.020	Mn	2	16
261.020	W	1	9
261.025	Mo	1	16
261.026	B	1	1
261.028	Nb	1	11
261.029	Ce	1	9
261.033	Ce	1	3
261.035	La	2	513
261.049	W	1	1
